text
Gratis saldo go pay dr gojek....Alhamdulillah... Makan malam ini kita gofood aj
memang luar biasa fast respon bgt Gojek ini. Silahkan cek DM nya ya
iklan gojek bagus deh atau karena saya ngefans sama rio dewanto? haha
Terimakasih Gojek Gobox atas pertanggungjawabannya. Asuransi telah saya terima.. Good! Sukses selalu
Anw. Thanks buat Bapak Gojek yang luar biasa. Berangkat dr kosan pagi sekali. Udah takut ketinggalan pesawat. Eh sampe bandara kepagian
Nyobaain gojek ternyataa lumayan cepat
ngebut ngejar travel dari bojongsoang ke cihampelas sampai tepat waktu. nuhun pisan aa gojek
Kadang suka ngerasa dipahami sama Gojek karena dia hafal rute
gojek itu sangat membantu
Aku paling suka naik ojek online gojek harga murah banget
Gojek itu ngebantu banget loh... Kemana gocar murah
terimakasih mas gojek yang mau anterin dumdum ke rumah
Di Jogja rasanya males naik motor sendiri..... gojek murah pake gopay
Seneng ya kalo gojek yg helmnya wangi bet sampek jilbabku melu harum walopun sudah berpisah dgn bapak gojeknya
td malem pijat pesen Go massage gojek sumpah mantep banget pijitan real pijitan gak pake modus. murah lagi.
Hari ini driver gojek yang helmnya wangi Downy.. Cailaaaah... Sampe helm aja direndem pake Downy
HUHU pertama kali daper driver gojek ganteng. Enak di ajak ngobrol.. di tawarin di anterin sampe masuk rumah pula
Diterima juga sama mas Mustopa. Dikasih jas dan helm. Kalau ada jempol 10 aku kasih deh
Lagi-lagi abang gojek yang superduper periang. Bikin ketularan
Omg kali ini driver gojek nya keceeeee!! Bersih rapih wangik wkwkwk
Pertama kali ini gojek ada yg cakep plus wangiiiii...sukaaa
@gojekindonesia Alesannya apps gojek error nomor saya gak bisa di call. Sms gak bisa??? Masih aja bikin alesan maksa cancel
@gojekindonesia cancel pke aplikasi error terus
@gojekindonesia kenapa yaa saya gabisa akses account gojek saya?
@gojekindonesia @doriarach sama gan ini gojek server lagi down apa yak kok ga bisa track laper gan
@gojekindonesia sy blg tlg dicancel krn aplikasi error ga. Sy sdh jalan ke sency brg tmn tidak jd pakai gojek
@gojekindonesia tolong reparasi lg app.  Gojek driver nya.... Byk orderan fiktif... Byk orderan yg kelewat pdhl gk ada notifnya \ud83d\29
@gojekindonesia tp kok tiap mau download aplikasi gojek ada muncul tulisan item no longer available ?
@gojekindonesia min saya gagal verifikasi kode akun gojek
Gojek error. Status tetap mencari driver terus
@gojekindonesia baru instal ulang aplikasi gojek krn tab note saya baru dibenerin. Tp gak bisa log in
@gojekindonesia maps gojek lagi eror ya? Mau mesen makan engga bisa engga bisa save route
ini aplikasi gojek bermasalah
gojek error lg sih
@gojekindonesia gojek eror bgt? ngecek orderan gak bisa
@gojekindonesia trs saya reinstall sampe skrg mlh gak bisa login. emg lg error atau gimana sih hedehh error terus gojek ini
@gojekindonesia min gojek internal server error ya dr tadi gabisa2 mesen go ride?
@gojekindonesia gojek saya error. 10drivers tlp saya. Tolong d urus. Ini mengganggu
@gojekindonesia kok go pay saya berkurang 19rb padahal diaplikasi gojek saya tdk bisa order. Tlg konfirmasinya
Server #gojek ama #grab overload semua ... Cekikkkkji
@gojekindonesia ini kenapa saya tidak bisa masuk k aplikasi gojek ya?.padahal 5 hari yg lalu saya masih sempat pake gojek.
@gojekindonesia apakah aplikasi gojek masih eror sampai skrg? Sudah pesan goride berkali2 dr 2 jam td ga bisa2
